Sample,Name,Acc,16S,18S,18SName,Proper_name,Type,Source,TimeSeries,xKit,Rep,RepType,Polymerase16S,Polymerase18S,DNA.16S,DNA.18S,Run16S,Run18S,Primer16S,Station,Environment,Estuary,Tide,Date,Season,Year
D2-Oct20,D2 timepoint 68,ERS12471490,1,1,D2-Oct20,D2-Oct20,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2020-10-09,Au,2020
D2-Nov20,D2 timepoint 69,ERS12471491,1,1,D2-Nov20,D2-Nov20,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2020-11-17,Au,2020
D2-Dec20,D2 timepoint 70,ERS12471492,1,1,D2-Dec20,D2-Dec20,W,Filter02uM,W,PowerWater,1,Prefilter,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2020-12-02,Wi,2020
D2-Jan21,D2 timepoint 71,ERS12471493,1,1,D2-Jan21,D2-Jan21,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2021-01-11,Wi,2021
D2-Feb21,D2 timepoint 72,ERS12471494,1,1,D2-Feb21,D2-Feb21,W,Filter02uM,W,PowerWater,1,None,Taq,Taq,NA,NA,202104,202104,515..926,D2,Offshore,None,NA,2021-02-04,Wi,2021
LUR20-Feb15,LUR20 timepoint 1,ERS12471495,1,1,LUR20-02_2015,LUR20-Feb15,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2015-02-13,Wi,2015
LUR20-Mar15,LUR20 timepoint 2,ERS12471496,1,1,LUR20-03_2015,LUR20-Mar15,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2015-03-23,Sp,2015
LUR20-Apr15,LUR20 timepoint 3,ERS12471497,1,1,LUR20-04_2015,LUR20-Apr15,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2015-04-15,Sp,2015
LUR20-May15,LUR20 timepoint 4,ERS12471498,1,1,LUR20-05_2015,LUR20-May15,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,201909,202103,515..926,LUR20,Coastal,10 Urumea,NA,2015-05-18,Sp,2015
LUR20-Jun15,LUR20 timepoint 5,ERS12471499,1,1,LUR20-06_2015,LUR20-Jun15,W,Filter02uM,W,PowerWater,1,None,HF,Taq,NA,NA,2017,202103,515..926,LUR20,Coastal,10 Urumea,NA,2015-06-15,Su,2015
